ovrspdPrvnManageNo,ctprvnNm,signguNm,roadNm,rdnmadr,lnmadr,itlpc,ovrspdPrvnMatrl,ovrspdPrvnType,hg,bt,et,roadType,stndrdYn,latitude,longitude,mdstrpYn,ctnuYn,installationYear,institutionNm,phoneNumber,referenceDate,insttCode
,제주특별자치도,서귀포시,동홍로99번길,,제주특별자치도 서귀포시 동홍동 1437-1,서귀고등학교 후문 진입로,1,1,10,3.6,800,1,Y,33.2522376,126.5726169,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
,제주특별자치도,서귀포시,동홍북로48번길,,제주특별자치도 서귀포시 동홍동 81-3,충암뉴빌라,1,1,10,3.6,800,1,Y,33.2663197,126.5671727,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
,제주특별자치도,서귀포시,동홍북로48번길,,제주특별자치도 서귀포시 동홍동 81-7,충암뉴빌라2차,1,1,10,3.6,800,1,Y,33.2663197,126.5671727,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
,제주특별자치도,서귀포시,동홍로99번길,,제주특별자치도 서귀포시 동홍동 947,남주고등학교 4가로 북쪽50m,1,1,10,3.6,800,1,Y,33.2663197,126.5671727,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
,제주특별자치도,서귀포시,장수로,,제주특별자치도 서귀포시 동홍동 1528-10,한빛장례식장  옆,1,1,10,3.6,800,1,Y,33.2663197,126.5671727,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
,제주특별자치도,서귀포시,흙담솔로,,제주특별자치도 서귀포시 서홍동 1592-2,신라사원앞,1,1,10,3.6,800,1,Y,33.2595689,126.5554814,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
,제주특별자치도,서귀포시,홍중로,,제주특별자치도 서귀포시 서홍동 349-2,민우아파트 좌,1,1,10,3.6,800,1,Y,33.2539385,126.5595922,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
,제주특별자치도,서귀포시,홍중로,,제주특별자치도 서귀포시 서홍동 349-2,민우아파트 우,1,1,10,3.6,800,1,Y,33.2539385,126.5595922,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
,제주특별자치도,서귀포시,홍중동로,,제주특별자치도 서귀포시 서홍동 388-27,엘리시안 아파트 앞,1,1,10,3.6,800,1,Y,33.2570092,126.5589715,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
,제주특별자치도,서귀포시,장수로,,제주특별자치도 서귀포시 서홍동 378-5,산남마트앞,1,1,10,3.6,800,1,Y,33.2562262,126.5588578,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
,제주특별자치도,서귀포시,장수로,,제주특별자치도 서귀포시 서홍동 378-20,광국빌라앞,1,1,10,3.6,800,1,Y,33.255987,126.5583681,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
,제주특별자치도,서귀포시,솜반천로,,제주특별자치도 서귀포시 서홍동 368-2,서초등학교 서쪽,1,1,10,3.6,800,1,Y,33.2539385,126.5595922,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
,제주특별자치도,서귀포시,솜반천로,,제주특별자치도 서귀포시 서홍동 444-14,서초등학교 좌,1,1,10,3.6,800,1,Y,33.2639577,126.5507293,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
,제주특별자치도,서귀포시,솜반천로,,제주특별자치도 서귀포시 서홍동 444-14,서초등학교 우,1,1,10,3.6,800,1,Y,33.2639577,126.5507293,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
,제주특별자치도,서귀포시,솜반천로6번길,,제주특별자치도 서귀포시 서홍동 440-1,시청후문 동쪽,1,1,10,3.6,800,1,Y,33.2537948,126.5593937,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
,제주특별자치도,서귀포시,동홍서로,,제주특별자치도 서귀포시 동홍동 489,한라빌라 앞,1,1,10,3.6,800,1,Y,33.2663197,126.5671727,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
,제주특별자치도,서귀포시,하논로,,제주특별자치도 서귀포시 서홍동 1132-9,토담어린이집 남측,1,1,10,3.6,800,1,Y,33.2536538,126.548008,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
,제주특별자치도,서귀포시,하논로,,제주특별자치도 서귀포시 서홍동 1132-9,토담어린이집 북측,1,1,10,3.6,800,1,Y,33.2536538,126.548008,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
,제주특별자치도,서귀포시,서홍로,,제주특별자치도 서귀포시 서홍동 1263-1,공덕사 인근,1,1,10,3.6,800,1,Y,33.2539385,126.5595922,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
,제주특별자치도,서귀포시,이어도로,,제주특별자치도 서귀포시 법환동 1244-1,법환초교(동쪽),1,1,10,3.6,800,1,Y,33.2375178,126.5089877,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
,제주특별자치도,서귀포시,이어도로,,제주특별자치도 서귀포시 법환동 1244-1,법환초교(서쪽),1,1,10,3.6,800,1,Y,33.2375178,126.5089877,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
,제주특별자치도,서귀포시,이어도로,,제주특별자치도 서귀포시 법환동 450,법환마을회관,1,1,10,3.6,800,1,Y,33.2405219,126.5166758,Y,N,,서귀포시,064-760-3093,2020-06-25,6520000
